[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	H2B Imported: Glass_Bottle_OBJ.h2b
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	H2B Imported: Pedestal2.h2b
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	H2B Imported: Skull.h2b
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	H2B Imported: Sword_WallMount.h2b
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	H2B Imported: Torch.h2b
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	H2B Imported: Trapdoor.h2b
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	H2B Imported: Vase.h2b
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	H2B Imported: Wall_Modular.h2b
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	H2B Imported: mortar and pestle.h2b
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	H2B Imported: objAztec.h2b
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[MESSAGE]	Importing of .H2B File Data Complete.
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	End Loading.
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	Start Program.
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[MESSAGE]	Begin Reading Game Level Text File.
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	Model Detected: Floor_Modular
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	Location: X 0.000000 Y 0.000000 Z 0.000000
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	Model Detected: Floor_Modular.001
